date,year,month,category,state,county,title,fema_number,area(sq_miles),thousand_square_miles,first,last,change
6/8/2023,2023,6,Flood,CO,El Paso County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731,"103,730",103.73,42.48363636363637,44.301818181818184,1.818181818181813
4/30/2023,2023,4,Flood,ME,Sagadahoc County,SEVERE STORM AND FLOODING,4719,"30,865",30.865,37.914545454545454,40.99636363636364,3.0818181818181856
2/15/2023,2023,2,Flood,KY,Clay County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
7/9/2023,2023,7,Flood,NH,Rockingham County,SEVERE STORMS AND FLOODING,4740,"8,969",8.969,39.97090909090909,43.3,3.329090909090908
4/11/2023,2023,4,Flood,MN,Renville County,SEVERE STORMS AND FLOODING,4722,"79,617",79.617,37.972727272727276,39.40727272727273,1.4345454545454572
4/10/2023,2023,4,Flood,ND,Dunn County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
3/9/2023,2023,3,Flood,CA,Plumas County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
2/15/2023,2023,2,Flood,KY,Hart County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
4/10/2023,2023,4,Flood,ND,Ransom County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
1/8/2023,2023,1,Flood,CA,Santa Barbara County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,Santa Barbara County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
2/15/2023,2023,2,Flood,KY,Carter County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
4/11/2023,2023,4,Flood,MN,Kittson County,SEVERE STORMS AND FLOODING,4722,"79,617",79.617,37.972727272727276,39.40727272727273,1.4345454545454572
4/11/2023,2023,4,Flood,MN,Houston County,SEVERE STORMS AND FLOODING,4722,"79,617",79.617,37.972727272727276,39.40727272727273,1.4345454545454572
5/1/2023,2023,5,Flood,UT,Wasatch County,FLOODING,4752,"82,168",82.168,45.36545454545454,47.07636363636363,1.710909090909091
1/8/2023,2023,1,Flood,CA,Yolo County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/10/2023,2023,4,Flood,ND,Hettinger County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
4/11/2023,2023,4,Flood,MN,St. Louis County,SEVERE STORMS AND FLOODING,4722,"79,617",79.617,37.972727272727276,39.40727272727273,1.4345454545454572
4/10/2023,2023,4,Flood,ND,Wells County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
5/1/2023,2023,5,Flood,UT,Sanpete County,FLOODING,4752,"82,168",82.168,45.36545454545454,47.07636363636363,1.710909090909091
6/1/2023,2023,6,Flood,MT,Petroleum County,FLOODING,4745,"145,556",145.556,39.494545454545445,40.31636363636364,0.8218181818181947
4/24/2023,2023,4,Flood,IA,Clayton County,FLOODING,4732,"55,875",55.875,44.74545454545455,46.510909090909095,1.7654545454545456
4/30/2023,2023,4,Flood,ME,Knox County,SEVERE STORM AND FLOODING,4719,"30,865",30.865,37.914545454545454,40.99636363636364,3.0818181818181856
1/8/2023,2023,1,Flood,CA,Orange County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,Orange County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/10/2023,2023,4,Flood,MT,Blaine County,FLOODING,4726,"145,556",145.556,39.494545454545445,40.31636363636364,0.8218181818181947
3/9/2023,2023,3,Flood,CA,Imperial County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
1/8/2023,2023,1,Flood,CA,Colusa County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
5/12/2023,2023,5,Flood,AK,Lower Yukon Regional Educational Attendance Area,FLOODING,4730,"570,641",570.641,22.956363636363637,26.25090909090909,3.294545454545453
4/24/2023,2023,4,Flood,IA,Allamakee County,FLOODING,4732,"55,875",55.875,44.74545454545455,46.510909090909095,1.7654545454545456
